Dataset,Availability,License,Ethics/Consent,Anonymization,Usage restriction,Maintenance,Availability checked,Evidence source,Official URL or archived URL,Source version/date
VIPeR [4],Legacy public download URL referenced; original project page not reliably accessible,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Legacy resource; no explicit maintenance plan,2026-09-04,Original paper [4]; legacy Duke project page; Internet Archive index,https://web.archive.org/web/*/https://vision.cs.duke.edu/projects/viper/,Paper: 2008; archived landing-page index checked 2026-09-04
"CUHK03 [5, 25]",Legacy official download page indexed; direct legacy page currently inaccessible at last check,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Current CUHK dataset index available; legacy detail page unstable,2026-09-04,Original paper [5]; CUHK person-identification data index; CUHK03-NP [25],https://www.ee.cuhk.edu.hk/~xgwang/CUHK_identification.html,Papers: 2014/2017; page checked 2026-09-04
Market-1501 [6],Registration required,Provider usage terms; no standardised open license identified,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Academic/research use only; no redistribution; no commercial use,Legacy access page available; no explicit maintenance plan,2026-09-04,Original paper [6]; official Market-1501 project/access page,https://zheng-lab-anu.github.io/Project/project_reid.html,Paper: 2015; page checked 2026-09-04
MSMT17 [7],Available upon request; signed release agreement required,MSMT17 Release Agreement; NELVT/PKU copyright,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Academic/scientific research only; no redistribution; no commercial use; dataset images may not be published or shown,Official PKU dataset page and release agreement available; no explicit maintenance plan,2026-09-04,Original paper [7]; official PKU VMC release page and MSMT17 Release Agreement,https://www.pkuvmc.com/,Paper: 2018; agreement/page state checked 2026-09-04
RegDB [36],Official legacy link currently unavailable,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Legacy official page; unavailable at last check,2026-09-04,Original paper [36]; legacy project link referenced by the release,https://doi.org/10.3390/s17030605,Paper: 2017; legacy-link status checked 2026-09-04
SYSU-MM01 [23],Available upon request; signed release agreement required,Dataset Release Agreement,Explicit participant consent/privacy license reported,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Scientific research use; subject to release agreement,Official repository available; no explicit maintenance plan,2026-09-04,Original paper [23]; official SYSU-MM01 repository and Dataset Release Agreement,https://github.com/wuancong/SYSU-MM01,Paper: 2017; repository/agreement state checked 2026-09-04
RGBNT201 [37],Publicly downloadable,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Author dataset page and download link available; no explicit maintenance plan,2026-09-04,Original paper [37]; author dataset page/download link,No durable official or archived URL retained in the current evidence package; see [37].,Paper: 2021; source package checked 2026-09-04
PRAI-1581 [24],Publicly downloadable,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Official repository available; no explicit maintenance plan,2026-09-04,Original paper [24]; official PRAI-1581 repository,https://github.com/stormyoung/PRAI-1581,Paper: 2021; repository state checked 2026-09-04
AG-ReID.v2 [39],Publicly downloadable,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Ethics committee approval reported; individual consent not explicitly stated,Face pixelation applied,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Official repository available; no explicit maintenance plan,2026-09-04,Original paper [39]; official AG-ReID.v2 repository,https://github.com/huynguyen792/AG-ReID.v2,Paper: 2024; repository state checked 2026-09-04
CARGO [40],Publicly downloadable,Academic-use dataset terms; copyright retained,N/A (synthetic),N/A (synthetic),Academic purposes only; no commercial use,Official repository available; no explicit maintenance plan,2026-09-04,Original paper [40]; authors' official project/repository,No durable official or archived URL retained in the current evidence package; see [40].,Paper: 2024; source package checked 2026-09-04
CP2108 [9],Publicly downloadable,Dataset usage license referenced by official repository; specific terms not exposed on project page,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Public study use indicated; no more specific restriction verified,Official repository actively updated; direct dataset link available,2026-09-04,Original paper [9]; official repository and dataset-usage-license reference,No durable official or archived URL retained in the current evidence package; see [9].,Original release; repository state checked 2026-09-04
AT-USTC [41],Available upon request; signed release agreement required,Dataset Release Agreement,Volunteer consent explicitly reported,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Subject to dataset release agreement,Official repository available; no explicit maintenance plan,2026-09-04,Original paper [41]; official repository and Dataset Release Agreement,No durable official or archived URL retained in the current evidence package; see [41].,Original release; repository/agreement state checked 2026-09-04
MP-ReID [8],Available upon request; signed agreement required,Dataset agreement required,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Facial mosaicking; original raw footage deleted,Subject to dataset agreement,Official project page and repository available; no explicit maintenance plan,2026-09-04,Original paper [8]; official MP-ReID repository and dataset agreement,https://github.com/MP-ReID/mp-reid,Paper: 2025; repository/agreement state checked 2026-09-04
