Dataset,Evidence source,Official URL or archived URL,Source version/date,Availability checked
VIPeR [4],Original paper [4]; legacy Duke project page; Internet Archive index,https://web.archive.org/web/*/https://vision.cs.duke.edu/projects/viper/,Paper: 2008; archived landing-page index checked 2026-09-04,2026-09-04
"CUHK03 [5, 25]",Original paper [5]; CUHK person-identification data index; CUHK03-NP [25],https://www.ee.cuhk.edu.hk/~xgwang/CUHK_identification.html,Papers: 2014/2017; page checked 2026-09-04,2026-09-04
Market-1501 [6],Original paper [6]; official Market-1501 project/access page,https://zheng-lab-anu.github.io/Project/project_reid.html,Paper: 2015; page checked 2026-09-04,2026-09-04
MSMT17 [7],Original paper [7]; official PKU VMC release page and MSMT17 Release Agreement,https://www.pkuvmc.com/,Paper: 2018; agreement/page state checked 2026-09-04,2026-09-04
RegDB [36],Original paper [36]; legacy project link referenced by the release,https://doi.org/10.3390/s17030605,Paper: 2017; legacy-link status checked 2026-09-04,2026-09-04
SYSU-MM01 [23],Original paper [23]; official SYSU-MM01 repository and Dataset Release Agreement,https://github.com/wuancong/SYSU-MM01,Paper: 2017; repository/agreement state checked 2026-09-04,2026-09-04
RGBNT201 [37],Original paper [37]; author dataset page/download link,No durable official or archived URL retained in the current evidence package; see [37].,Paper: 2021; source package checked 2026-09-04,2026-09-04
PRAI-1581 [24],Original paper [24]; official PRAI-1581 repository,https://github.com/stormyoung/PRAI-1581,Paper: 2021; repository state checked 2026-09-04,2026-09-04
AG-ReID.v2 [39],Original paper [39]; official AG-ReID.v2 repository,https://github.com/huynguyen792/AG-ReID.v2,Paper: 2024; repository state checked 2026-09-04,2026-09-04
CARGO [40],Original paper [40]; authors' official project/repository,No durable official or archived URL retained in the current evidence package; see [40].,Paper: 2024; source package checked 2026-09-04,2026-09-04
CP2108 [9],Original paper [9]; official repository and dataset-usage-license reference,No durable official or archived URL retained in the current evidence package; see [9].,Original release; repository state checked 2026-09-04,2026-09-04
AT-USTC [41],Original paper [41]; official repository and Dataset Release Agreement,No durable official or archived URL retained in the current evidence package; see [41].,Original release; repository/agreement state checked 2026-09-04,2026-09-04
MP-ReID [8],Original paper [8]; official MP-ReID repository and dataset agreement,https://github.com/MP-ReID/mp-reid,Paper: 2025; repository/agreement state checked 2026-09-04,2026-09-04
WHU-MARS [10],Original paper [10]; official WHU-MARS repository and Dataset Agreement,https://github.com/msm8976/WHU-MARS,Release: 2026; repository/agreement state checked 2026-09-04,2026-09-04
CUHK01 [52],Original paper [52]; CUHK person-identification data index,https://www.ee.cuhk.edu.hk/~xgwang/CUHK_identification.html,Paper: 2012; page checked 2026-09-04,2026-09-04
CUHK02 [53],Original paper [53]; CUHK person-identification data index,https://www.ee.cuhk.edu.hk/~xgwang/CUHK_identification.html,Paper: 2013; page checked 2026-09-04,2026-09-04
GRID [54],Original paper [54]; legacy official GRID page,No durable official or archived URL retained in the current evidence package; see [54].,Original release; legacy-page status checked 2026-09-04,2026-09-04
"DukeMTMC-reID [62, 103]",Original paper [103]; creators' withdrawal notice; CVF ethics guidance,https://www.cv-foundation.org/ethics,Original release: 2016; withdrawal guidance checked 2026-09-04,2026-09-04
MARS [42],Original paper [42]; official MARS project/download page,https://zheng-lab-anu.github.io/Project/project_mars.html,Paper: 2016; page checked 2026-09-04,2026-09-04
iLIDS-VID [43],Original paper [43]; legacy iLIDS-VID dataset page,No durable official or archived URL retained in the current evidence package; see [43].,Paper: 2016; legacy-page status checked 2026-09-04,2026-09-04
LLCM [67],Original paper [67]; official LLCM repository and Dataset Release Agreement,https://github.com/ZYK100/LLCM,Paper: 2023; repository/agreement state checked 2026-09-04,2026-09-04
HITSZ-VCM [44],Original paper [44]; official repository and dataset-specific license,No durable official or archived URL retained in the current evidence package; see [44].,Paper: 2022; repository/license state checked 2026-09-04,2026-09-04
PRCC [100],Original paper [100]; official project/download page,No durable official or archived URL retained in the current evidence package; see [100].,Paper: 2021; project-page state checked 2026-09-04,2026-09-04
LTCC [98],Original paper [98]; official project page and LTCC Database Release Agreement,No durable official or archived URL retained in the current evidence package; see [98].,Paper: 2020; project/agreement state checked 2026-09-04,2026-09-04
VC-Clothes [101],Original paper [101]; official legacy project/download page,No durable official or archived URL retained in the current evidence package; see [101].,Paper: 2020; project-page state checked 2026-09-04,2026-09-04
DeepChange [99],Original paper [99]; official project repository and Dataset Access Agreement,No durable official or archived URL retained in the current evidence package; see [99].,Paper: 2023; repository/agreement state checked 2026-09-04,2026-09-04
AG-ReID.v1 [80],Original paper [80]; official repository and download link,No durable official or archived URL retained in the current evidence package; see [80].,Original release; repository state checked 2026-09-04,2026-09-04
AG-VPReID [45],Original paper [45]; official repository and competition materials,No durable official or archived URL retained in the current evidence package; see [45].,Original release; repository/FAQ state checked 2026-09-04,2026-09-04
CUHK-PEDES [47],Original paper [47]; official project repository and access instructions,No durable official or archived URL retained in the current evidence package; see [47].,Original release; repository/access state checked 2026-09-04,2026-09-04
RSTPReid [48],Original paper [48]; official dataset repository; MSMT17 source-data terms,No durable official or archived URL retained in the current evidence package; see [48] and [7].,Original release; repository/source-data terms checked 2026-09-04,2026-09-04
